,Adjusted Rand Score,Normalized Mutual Info Score,Homogeneity Score,Completeness Score,V Measure Score,BER
KMeans,0.011485145253141258,0.37796877884577995,0.6191357965838499,0.2720135248644443,0.37796877884577995,0.10631283068783069
DBSCAN,0.0009302915043600443,0.4835996080971856,0.971319944542594,0.3219444662622314,0.4835996080971856,0.052884615384615384
MeanShift,-0.010458581819599407,0.10258338666615943,0.06478161060426846,0.24631422401927877,0.10258338666615942,0.4993177260510753
GMM,-0.006904295992970469,0.044317247377079316,0.03584339111835322,0.058038269162134705,0.04431724737707932,0.4921169786187763
Hier,0.02562225848083115,0.35764757127214164,0.5624781748113499,0.26217470566061857,0.35764757127214164,0.16453496654970198
OPTICS,-0.0020459089994802277,0.015696088489489644,0.009112469176759128,0.056559357117508896,0.015696088489489644,0.452026283709452
