,Adjusted Rand Score,Normalized Mutual Info Score,Homogeneity Score,Completeness Score,V Measure Score,BER
KMeans,-0.00030920907068244505,0.5221781156584915,0.5800824276505756,0.4747847097368206,0.5221781156584915,0.45194432505599863
DBSCAN,-0.008278488070278391,0.6343137567422905,0.8333559973634699,0.5120206078840681,0.6343137567422905,0.28346764039284816
MeanShift,-0.06228993304377003,0.46950180247940637,0.4774182575429077,0.4618436032510827,0.46950180247940637,0.39039129744383494
GMM,-0.022643951838083244,0.1449181592005289,0.10119469518598533,0.2551702590721395,0.1449181592005289,0.4473957664479551
Hier,-0.009746360544033692,0.5249465226121419,0.601428096216263,0.46572220719851826,0.5249465226121419,0.4180159445203505
OPTICS,0.008246913931000152,0.11855004514831549,0.07536252890795414,0.2776760741893321,0.11855004514831549,0.48078116940595716
