,Adjusted Rand Score,Normalized Mutual Info Score,Homogeneity Score,Completeness Score,V Measure Score,BER
Greedy,0.24043068158049383,0.42127465147845355,0.4058062289813779,0.43796904845493273,0.42127465147845355,0.7107865974946098
Newman,0.3327665407586382,0.5062211060021883,0.522732226571169,0.4907210951812988,0.5062211060021882,0.40514971606711986
Partition,0.18236207267471402,0.40090374124348876,0.4154338887157015,0.38735565351485873,0.4009037412434888,0.6537143005935099
Label Propogation,0.31728743354823774,0.4907625123105864,0.4758143367299772,0.50668037485034,0.4907625123105865,0.515458830530374
LPA,0.333143282079733,0.5017324103110817,0.4870292782661743,0.5173509356436972,0.5017324103110817,0.4880836341392535
