,Adjusted Rand Score,Normalized Mutual Info Score,Homogeneity Score,Completeness Score,V Measure Score,BER
KMeans,0.011637906509847272,0.3731440331333364,0.8097228004935845,0.2424318794820225,0.3731440331333364,0.048672796218378264
DBSCAN,0.0003763706675348398,0.39869456774920303,0.9443368244398137,0.2526894281925356,0.398694567749203,0.03875968992248062
MeanShift,0.0009911381504879389,0.1136514540072658,0.0751211137725746,0.23332722928251606,0.11365145400726581,0.4496376811594203
GMM,-0.0055255821423666794,0.03895244625128765,0.035136768137660916,0.043697811004532496,0.03895244625128766,0.541186213664299
Hier,0.02782648487481657,0.35595127452593756,0.7217193942232034,0.23622978189212052,0.35595127452593756,0.06999522216913522
OPTICS,-0.0014231253606748321,0.10767516783867286,0.07749558931112828,0.1763536369115816,0.10767516783867286,0.6582274537774052
